duration,severity,affected,magnitude,dead
15,1,189593.05,6.5,0
2,1.5,6361.93,4.3,25
7,1,14448.97,5,0
7,1.5,115468.68,6.1,0
6,1.5,31965.46,5.5,0
4,1,26865.71,5,4
4,1,41239.79,5.2,5
11,1,98203.33,6,0
6,1,56089.63,5.5,0
12,1.5,236086.96,6.6,464
29,2,431896.52,7.4,175
17,1.5,71700.83,6.3,15
36,1,5634.34,5.3,0
4,1,191002.27,5.9,4
10,1,1115.2,4,23
13,1,20807.38,5.4,4
56,1.5,23537.98,6.3,0
2,1,5465.46,4,0
31,2,171530.74,7,1
37,2,5274.09,5.6,0
4,1.5,3179.22,4.3,10
4,1.5,288020.18,6.2,2
40,2,239421.33,7.3,1
3,1,9766.63,4.5,0
11,1,37648.86,5.6,6
49,1,270433.59,7.1,0
5,1,306993.58,6.2,12
3,1,7088.55,4.3,5
41,1.5,137262.92,6.9,8
8,1,211220.92,6.2,3
19,1.5,213195.15,6.8,0
10,1.5,17351.66,5.4,18
419,2,46208.32,7.6,5
36,1.5,102874.48,6.7,62
2,1,31580.94,4.8,0
2,1,23979.38,4.7,0
19,2,33575.43,6.1,59
2,1.5,7361.19,4.3,0
7,2,4650.1,4.8,0
5,2,114051.18,6.1,0
18,1,47808.61,5.9,0
7,1.5,124445.34,6.1,10
5,1.5,25963.78,5.3,9
2,1,2306.7,3.7,3
1,2,4766.62,4,10000
22,1,457221.41,7,1
22,1.5,1163517.11,7.6,1
2,1.5,41506.24,5.1,12
3,1.5,4197.8,4.3,0
13,1.5,122139.84,6.4,3
17,1,135202.5,6.4,0
16,1,36529.58,5.8,0
7,1,63337.57,5.6,25
16,1,19634.43,5.5,26
4,1.5,44521.72,5.4,11
14,1.5,19891.49,5.6,14
2,1,85174.87,5.2,31
4,1.5,62167.77,5.6,2
7,1.5,3623.61,4.6,0
4,1.5,12401.11,4.9,0
6,1.5,30361.71,5.4,10
3,1,10402.99,4.5,0
4,1,17419.69,4.8,0
14,2,22133.29,5.8,23
35,1.5,134636.07,6.8,50
18,2,587384.59,7.3,665
18,2,10773.79,5.6,53
42,2,911256.21,7.9,35
12,1.5,175962.13,6.5,0
10,1.5,355567.84,6.7,0
7,1.5,19018.8,5.3,0
5,1,23546.82,5.1,0
10,1.5,23750.6,5.6,10
5,1,22049.53,5,0
23,1.5,57474.5,6.3,170
15,1,27315.31,5.6,1
17,2,101737.38,6.5,3
26,1.5,180760.53,6.8,30
2,2,70791.19,5.5,30
24,2,832001.36,7.6,5
26,2,45583.59,6.4,143
36,1.5,1140146.22,7.8,250
5,1.5,8727.83,4.8,0
4,1.5,8458.94,4.7,3
7,1.5,4567.71,4.7,0
4,2,18725.85,5.2,0
17,1.5,11880.4,5.5,2
4,1,23685.01,5,15
5,1,44792.72,5.4,0
6,1.5,39742.27,5.6,0
36,1.5,8249.26,5.6,0
5,1.5,10440.04,4.9,17
7,1,33659.75,5.4,18
4,1.5,15301.91,5,9
37,2,3873.76,5.5,206
4,1.5,24954,5.2,0
4,1.5,7522.87,4.7,13
5,1,21254.7,5,0
7,1.5,109613.58,6.1,112
12,1.5,29265.76,5.7,15
4,1.5,4896.01,4.5,0
65,1.5,26788.65,6.4,272
9,2,3978.3,4.9,0
6,1,23269.99,5.1,0
11,1.5,11136.58,5.3,149
5,1.5,31988.88,5.4,84
11,1.5,6786.59,5,5
5,1.5,3303.97,4.4,0
11,1.5,14080.23,5.4,2
9,2,3873.19,4.8,0
13,2,98327.2,6.4,19
4,2,45780.38,5.6,0
3,2,6726.25,4.6,0
3,1,11289.64,4.5,0
13,1.5,38537.96,5.9,88
22,1.5,7364.9,5.4,0
18,1.5,8694.6,5.4,40
34,1.5,38021.99,6.3,24
13,1.5,12555.81,5.4,1
17,1.5,15951.54,5.6,0
5,1,15031.48,4.9,8
24,1,10843.63,5.4,0
3,1.5,11046.27,4.7,0
15,2,7093.05,5.3,0
53,2,14761.29,6.2,100
